Row.names	cluster	10062_at	10437_at	1075_at	10859_at	10935_at	1116_at	1213_at	1291_at	140885_at	1437_at	1508_at	1520_at	1536_at	1958_at	2170_at	23157_at	2357_at	2512_at	2625_at	2956_at	2980_at	30009_at	3055_at	3458_at	3597_at	3717_at	5306_at	5359_at	55509_at	558_at	64065_at	6648_at	6772_at	6948_at	7070_at	7111_at	7299_at	7453_at	847_at	8566_at	8804_at	9056_at	9114_at	9246_at	940_at	943_at	958_at	966_at	hist
AITL..152	AITL..152	1	8.28994713198554	9.9083412770866	8.86125631984163	6.15105303874206	9.23683135168685	7.85081718734478	10.7007002337022	5.42527024032141	6.70666039212795	3.99948519840432	9.11306775724806	9.07952689065551	8.09073475864503	8.34412810535784	4.04389473854479	8.61035341229967	6.81317240875713	12.3682018819248	6.78376726381747	6.74067571333829	4.09450003777797	6.01498120788062	7.70672686856395	6.10332396732117	5.77213273934912	6.6351075441022	7.50026758151335	8.87716795879951	6.49375951938405	5.21137171639397	4.39222413860928	6.64011108297911	10.3560750884938	6.16476680137705	8.29684644690268	4.73513985579694	2.82059263069957	9.35922796838384	7.74600068749561	6.36418477424549	8.87027997837938	8.00094856130227	9.45307097353464	9.22778808210436	6.40549874676516	5.61526135619088	6.91647072432984	7.86531150579011	AITL
AITL..153	AITL..153	1	8.47807641423782	10.6017764939036	9.72772985607314	9.08396706067684	9.10381706119913	9.63323848013772	10.8891917352892	6.22826595758885	7.11916884525214	4.59120360472398	10.5774670069623	9.50986107402373	8.91844193007912	9.07278903236754	4.31085270134553	8.26471657774288	8.52179992600989	12.9951190708919	6.45276554580054	6.0762298718194	4.30086416064414	6.52233621782491	8.69808686139744	6.28147220179962	6.53017994454698	6.74414556435004	7.27945542083737	9.33836846479809	8.1818332874183	5.83731097210771	4.22916471959374	7.27377402036867	11.397511157723	6.88642014225935	8.12365251831196	5.41849623977021	2.92205569234671	10.9543646369638	7.54260066139961	6.96023304520782	9.70072875347071	9.04943421257043	9.81961507562445	9.68295004312937	5.29040164882776	5.0659808015705	7.5535598171394	8.81255003153799	AITL
AITL..154	AITL..154	1	8.98308946239288	10.57396045665	9.59464940376916	6.04536512025948	10.4303556451227	10.7061922488414	11.0509587260142	5.37505769955981	6.54999080133923	4.24419595210036	10.1416293409643	9.63447495663058	8.15717899653984	6.54688231942785	4.35866393754687	8.73187523978088	9.23720099392893	12.5746471376841	7.07366436310094	7.52968426246983	4.15593847567283	5.72861834854582	8.14022960356125	9.2191535851394	6.31111128751129	6.93210267809155	7.46348592359975	9.08901529074707	6.12710275001401	4.6746210423256	4.99481513972614	7.68825778469461	10.5958749335159	7.41466610437096	8.06730426923758	5.36965003347209	3.086397455198	10.301940340489	7.29396685237525	7.26498535473263	9.68386636548147	8.25191682861494	9.33372649515774	9.40413270460597	8.52429989244562	7.73225808461829	6.53849998045622	8.91248550481216	AITL
AITL..157	AITL..157	1	8.71983185964155	10.5005772269642	9.96697949703859	8.13475049173168	9.15360724157271	9.9409539332005	10.7176480290735	5.82328991885657	6.94724549133025	4.47818577501844	10.8032913943858	9.90721309253937	8.49339938310636	8.88156649319684	5.02004008138749	7.8622231559273	8.09619555567846	12.9726731684878	6.99549118545008	5.65817192999003	4.65037129977977	6.72021423636735	8.87476245384364	6.56801291066532	6.2766634503591	6.38310949981221	7.35073206985863	9.05548577072428	8.07151076360256	6.01235518580546	4.48472742233811	8.0591853376966	11.6716193798625	7.2630634258796	8.33431197875817	5.67522749048581	2.98865856880216	10.5788180840179	7.57971630283694	7.39137136923382	9.96658448117965	8.84460283447508	9.52971845671783	9.80503338295696	5.89960580739248	5.50407714917463	7.101877024312	8.42056725285546	AITL
AITL..163	AITL..163	1	8.9364056159805	10.6790736830456	10.1351717173782	7.51891487936508	10.5830788833792	9.21283195345205	11.1768463676285	6.72949710483972	7.30607609135232	4.91035686261608	9.69644881500546	9.08348065474727	7.75689085307556	7.2785452503312	4.31095024888758	8.05254043525888	8.51823890944635	12.5620733474579	7.20238114663104	7.62954437959631	4.26625717672259	5.64534127079602	8.51541416855103	7.17049531838726	6.87379059112323	6.94195745373981	7.4387412519848	9.43983017731033	6.97748895525844	4.89472781873032	5.54325193278567	7.64792345187829	10.1688228677961	6.5180887112572	8.81843645119018	4.68704496253149	2.85616433064501	10.4972534031422	8.00474897801773	7.14358980005796	9.77979959328595	8.6070505583028	9.46273093766509	9.23842244366449	7.13869024978537	6.5136207827669	7.21557273018749	8.6472704797633	AITL
AITL..17	AITL..17	1	8.57239281675431	11.6406107576613	8.47328476405067	7.59812340111769	10.078421372991	10.4412978116092	10.5956652799392	5.85996741352423	7.02144404085183	3.86853254160012	11.8293456575465	11.0198468185954	8.94394427990098	7.41970359516648	5.21106429518897	6.85837989638091	9.77928696090549	13.4215445024645	5.90727971630852	7.15976719324266	5.62170605495815	7.04375755682799	8.69172418486443	8.60943481632213	7.53164167366542	7.24714737793673	7.46811673658195	10.5636518723208	6.03074581557437	5.87431167424275	6.66279457092062	9.30608500373684	11.8388061178968	8.77751126074873	7.31242254270017	5.27370528354404	3.08552595737268	11.5756589987952	7.48489605437957	7.0519020991949	10.8973344593791	8.33987252472984	9.83036628569532	9.66485932398261	7.31898844158857	6.0342210696686	8.19073512398764	8.64996545082186	AITL
AITL..179	AITL..179	1	7.86342029613826	10.0873338241949	8.97139886064068	6.82625550175683	9.23360349022336	8.08598061363685	10.5615287878621	5.23029791058169	6.26190130438577	4.2002418619159	9.30112639122079	9.20459021304672	8.23107617751645	7.10743049842735	4.0530525190225	8.94048477788692	7.73156424623686	12.1618540432755	6.80645124229575	5.97805861289189	4.42887675467869	5.80120055688655	7.72019974795806	5.34841610112282	5.63750232529207	6.13083946466005	7.43080555278783	8.8412020693954	6.88767262267695	5.10754619704299	4.04099312693447	6.59303973893195	10.8931849994966	6.32485266260427	8.1217614395336	4.75715500563034	2.83520107891419	9.33905996961548	7.43755646643991	6.62767841934674	8.71095223829438	8.10911817376661	9.35155048886188	9.43965754929715	5.99689061324699	6.03597834291681	6.8602643626006	7.53224400914668	AITL
AITL..187	AITL..187	1	9.39786715349178	10.2234935782638	10.3046120801327	7.08021093211865	10.2307328480055	8.97031772271171	10.9974229072516	6.85568191079824	6.88288002613507	4.66602680829633	9.51402702176785	9.03486514690873	7.19588245802474	8.6921648186222	4.18629130229974	7.78846753691573	7.92916079556761	12.7039613676484	7.34840802742508	6.89196270604241	4.23880608220877	6.4531666191238	8.07441298658993	6.8411329289617	6.68235416290446	6.96175473620426	7.42341705775672	9.06311010537171	7.64098602030253	5.61241712782279	5.03057929658496	6.96120747670173	9.92663653359888	6.61102436668897	8.63527064898543	5.0252284736499	2.90034401823962	9.60048200679633	8.3840152929767	6.91362574592236	9.68360296874605	8.23643720312265	9.52366187070061	9.23485776664398	6.81600356962915	5.65128633596492	6.84967296391812	8.91679195012233	AITL
AITL..191	AITL..191	1	9.02059479162612	10.2092361531461	9.95176597745042	6.65781564402755	10.3274693739384	9.87230118100049	11.0184964386433	6.10882076067983	6.8171531460852	4.48752256887113	9.55509880076801	9.12624126525017	6.86593169025062	6.67036062708538	4.13033915413951	8.16633185318209	8.12651902135086	12.6017920933401	6.71059657124536	7.54027070121211	4.40112017083244	5.40074214875172	7.99874133673405	6.88928979234908	6.2298666840523	7.06306758967922	7.40221697527025	9.23363499777855	6.66096995460131	4.82283502734315	5.04412893617876	7.03960888348892	10.1912642555119	6.68010123429085	8.7783815940825	4.73727567154144	2.84065801943606	10.197937917107	7.69212676240032	7.16796186947003	9.41626420365673	8.08464818648056	9.0942825225367	9.31880050939208	7.41491340989504	6.52351806263603	6.74789980113223	8.7841502581864	AITL
AITL..197	AITL..197	1	8.7059230240663	10.2517206625151	9.8661772013696	7.94455791572994	10.1981609453465	9.43759534343538	11.1136682419803	6.10143238972619	6.57481937611434	4.47317167159878	9.65342607298827	9.38100061863171	7.41665128692563	6.85853427624102	4.704938715169	7.02137639097718	7.96344994328913	12.7265610539238	6.26266712003836	6.78592582957744	4.63847694461198	5.52433758852895	7.93880148782091	7.08632670771851	6.51093383290201	6.67500675785105	6.90513522316838	9.49179906608684	7.37727113773517	6.15451234073787	4.72896792296318	7.83038236670555	10.5270651470384	7.35119007314698	8.12531164623069	5.22543265788183	3.27381423916152	10.1195671001273	7.71687735244266	7.08080213361223	9.64208695232098	8.51007130690258	9.38963818670792	9.55675651307258	7.47667623551579	6.45200058009863	7.26619410247793	8.83262981415499	AITL
